APY,APY_BASE,APY_REWARD,TVL,DATE
0.88,,,4167240293,2022-02-11T00:00:00.000Z
0.84,,,4186769773,2022-02-12T00:00:00.000Z
0.82,,,4162616595,2022-02-13T00:00:00.000Z
0.87,,,4145994144,2022-02-14T00:00:00.000Z
1.02,,,4095248903,2022-02-15T00:00:00.000Z
0.97,,,4110529888,2022-02-16T00:00:00.000Z
1.16,,,4161910079,2022-02-17T00:00:00.000Z
0.96,,,4189833536,2022-02-18T00:00:00.000Z
0.9,,,4208146728,2022-02-19T00:00:00.000Z
0.78,,,4198297102,2022-02-20T00:00:00.000Z
0.81,,,4181473648,2022-02-21T00:00:00.000Z
0.82,,,4120483178,2022-02-22T00:00:00.000Z
0.93,,,4130873422,2022-02-23T00:00:00.000Z
1.06,,,4071649114,2022-02-24T00:00:00.000Z
1.18,,,3913067691,2022-02-25T00:00:00.000Z
1.17,,,3992920857,2022-02-26T00:00:00.000Z
0.97,,,3990879160,2022-02-27T00:00:00.000Z
1.01,,,3959614942,2022-02-28T00:00:00.000Z
1.07,,,3976640097,2022-03-01T00:00:00.000Z
1.11,,,4067092818,2022-03-02T00:00:00.000Z
1.13,,,4180609826,2022-03-03T00:00:00.000Z
0.98,,,4255066438,2022-03-04T00:00:00.000Z
0.99,,,4195362457,2022-03-05T00:00:00.000Z
0.96,,,4194095017,2022-03-06T00:00:00.000Z
1.01,,,4021444666,2022-03-07T00:00:00.000Z
1.06,,,4001067353,2022-03-08T00:00:00.000Z
0.94,,,3974471503,2022-03-09T00:00:00.000Z
0.81,,,3973110289,2022-03-10T00:00:00.000Z
0.96,,,3907482069,2022-03-11T00:00:00.000Z
0.97,,,3881405690,2022-03-12T00:00:00.000Z
0.99,,,3899928646,2022-03-13T00:00:00.000Z
0.92,,,3908042973,2022-03-14T00:00:00.000Z
0.86,,,3929894844,2022-03-15T00:00:00.000Z
0.8,,,3875949193,2022-03-16T00:00:00.000Z
0.97,,,3822765785,2022-03-17T00:00:00.000Z
1.1,,,3772134344,2022-03-18T00:00:00.000Z
1.07,,,3731679145,2022-03-19T00:00:00.000Z
0.87,,,3705696276,2022-03-20T00:00:00.000Z
0.88,,,3663300992,2022-03-21T00:00:00.000Z
0.92,,,3642915762,2022-03-22T00:00:00.000Z
0.97,,,3580872659,2022-03-23T00:00:00.000Z
1.06,,,3499619436,2022-03-24T00:00:00.000Z
1.46,,,3286013966,2022-03-25T00:00:00.000Z
1.17,,,3288678853,2022-03-26T00:00:00.000Z
1.20135,,,3265254455,2022-03-27T00:00:00.000Z
1.21452,,,3268503573,2022-03-28T00:00:00.000Z
1.1718,,,3322712840,2022-03-29T00:00:00.000Z
1.27326,,,3335754409,2022-03-30T00:00:00.000Z
1.23798,,,3361774356,2022-03-31T00:00:00.000Z
1.25826,,,3353939681,2022-04-01T00:00:00.000Z
1.25889,,,3267807303,2022-04-02T00:00:00.000Z
1.21454,,,3242151978,2022-04-03T00:00:00.000Z
1.27797,,,3198688458,2022-04-04T00:00:00.000Z
1.27407,,,3239603499,2022-04-05T00:00:00.000Z
1.08979,,,3283084911,2022-04-06T00:00:00.000Z
1.02745,,,3289599087,2022-04-07T00:00:00.000Z
0.98046,,,3287825993,2022-04-08T00:00:00.000Z
0.98729,,,3324502455,2022-04-09T00:00:00.000Z
0.98949,,,3387078595,2022-04-10T00:00:00.000Z
1.25024,,,3484594029,2022-04-11T00:00:00.000Z
1.01457,,,3528491078,2022-04-12T00:00:00.000Z
0.96508,,,3523927333,2022-04-13T00:00:00.000Z
0.92344,,,3547676454,2022-04-14T00:00:00.000Z
0.90413,,,3573710808,2022-04-15T00:00:00.000Z
0.86538,,,3600777450,2022-04-16T00:00:00.000Z
1.72237,,,3564718266,2022-04-17T00:00:00.000Z
0.90534,,,3587078158,2022-04-18T00:00:00.000Z
0.95077,,,3591835247,2022-04-19T00:00:00.000Z
0.99523,,,3578110529,2022-04-20T00:00:00.000Z
0.95366,,,3499530957,2022-04-21T00:00:00.000Z
1.12789,,,3356943437,2022-04-22T00:00:00.000Z
1.12627,,,3291902508,2022-04-23T00:00:00.000Z
0.96202,,,3484674560,2022-04-24T00:00:00.000Z
0.90737,,,3494652030,2022-04-25T00:00:00.000Z
0.86909,,,3411457308,2022-04-26T00:00:00.000Z
0.79479,,,3439360454,2022-04-27T00:00:00.000Z
0.74768,,,3409673719,2022-04-28T00:00:00.000Z
0.67917,,,3439909786,2022-04-29T00:00:00.000Z
0.83307,,,3292133501,2022-04-30T00:00:00.000Z
0.64434,,,3256837881,2022-05-01T00:00:00.000Z
0.70286,,,3204843829,2022-05-02T00:00:00.000Z
0.72442,,,3172900923,2022-05-03T00:00:00.000Z
0.84168,,,3194183464,2022-05-04T00:00:00.000Z
0.76602,,,3200122927,2022-05-05T00:00:00.000Z
0.80283,,,3243891127,2022-05-06T00:00:00.000Z
0.8191,,,3258416724,2022-05-07T00:00:00.000Z
2.51243,,,2948052806,2022-05-08T00:00:00.000Z
2.26411,,,2696729886,2022-05-09T00:00:00.000Z
2.4378,,,2595637633,2022-05-10T00:00:00.000Z
5.68794,,,1923049012,2022-05-11T00:00:00.000Z
9.44225,,,1625943952,2022-05-12T00:00:00.000Z
1.99263,,,1593019671,2022-05-13T00:00:00.000Z
0.92976,,,1404644182,2022-05-14T00:00:00.000Z
1.28983,,,1438304654,2022-05-15T00:00:00.000Z
1.1268,,,1428342028,2022-05-16T00:00:00.000Z
0.91696,,,1431001691,2022-05-17T00:00:00.000Z
0.7507,,,1442422197,2022-05-18T00:00:00.000Z
0.774,,,1423025492,2022-05-19T00:00:00.000Z
1.1535,,,1432666433,2022-05-20T00:00:00.000Z
0.74603,,,1473937714,2022-05-21T00:00:00.000Z
0.62644,,,1491224770,2022-05-22T00:00:00.000Z
0.66797,,,1520853105,2022-05-23T00:00:00.000Z
0.67013,,,1539516918,2022-05-24T00:00:00.000Z
0.6251,,,1555459941,2022-05-25T00:00:00.000Z
0.57357,,,1583515759,2022-05-26T00:00:00.000Z
0.9134,,,1459258830,2022-05-27T00:00:00.000Z
0.94325,,,1463289545,2022-05-28T00:00:00.000Z
0.95972,,,1474726987,2022-05-29T00:00:00.000Z
1.06477,,,1490291760,2022-05-30T00:00:00.000Z
1.06363,,,1506399288,2022-05-31T00:00:00.000Z
0.96337,,,1596077316,2022-06-01T00:00:00.000Z
0.92569,,,1601141393,2022-06-02T00:00:00.000Z
0.96578,,,1609696071,2022-06-03T00:00:00.000Z
0.92283,,,1607275163,2022-06-04T00:00:00.000Z
1.00086,,,1607039985,2022-06-05T00:00:00.000Z
1.05676,,,1642120735,2022-06-06T00:00:00.000Z
1.06525,,,1649920327,2022-06-07T00:00:00.000Z
1.01489,,,1655657933,2022-06-08T00:00:00.000Z
0.88853,,,1658309256,2022-06-09T00:00:00.000Z
0.826,,,1668970939,2022-06-10T00:00:00.000Z
0.79638,,,1683447444,2022-06-11T00:00:00.000Z
0.72738,,,1663901464,2022-06-12T00:00:00.000Z
1.41391,,,1491857784,2022-06-13T00:00:00.000Z
1.29432,,,1236299564,2022-06-14T00:00:00.000Z
1.3047,,,1181223957,2022-06-15T00:00:00.000Z
0.92389,,,1151838415,2022-06-16T00:00:00.000Z
0.98556,,,1098830591,2022-06-17T00:00:00.000Z
1.00319,,,1036879438,2022-06-18T00:00:00.000Z
0.89959,,,1053574607,2022-06-19T00:00:00.000Z
0.81554,,,1040826098,2022-06-20T00:00:00.000Z
0.86531,,,1041801029,2022-06-21T00:00:00.000Z
0.6267,,,1033933612,2022-06-22T00:00:00.000Z
0.93109,,,1033599607,2022-06-23T00:00:00.000Z
1.09527,,,1036814752,2022-06-24T00:00:00.000Z
0.71397,,,1043225161,2022-06-25T00:00:00.000Z
0.76088,,,1042065686,2022-06-26T00:00:00.000Z
0.75818,,,1060527954,2022-06-27T00:00:00.000Z
0.82026,,,1069001125,2022-06-28T00:00:00.000Z
0.97198,,,1054212888,2022-06-29T00:00:00.000Z
0.7342,,,1039855503,2022-06-30T00:00:00.000Z
0.88484,,,1035200361,2022-07-01T00:00:00.000Z
0.77992,,,1023287154,2022-07-02T00:00:00.000Z
0.68356,,,1020034337,2022-07-03T00:00:00.000Z
0.89002,,,989393915,2022-07-04T00:00:00.000Z
0.97117,,,985291472,2022-07-05T00:00:00.000Z
0.94882,,,991189450,2022-07-06T00:00:00.000Z
0.99278,,,981894011,2022-07-07T00:00:00.000Z
0.90155,,,982638739,2022-07-08T00:00:00.000Z
0.83829,,,982778304,2022-07-09T00:00:00.000Z
0.82585,,,982805872,2022-07-10T00:00:00.000Z
0.75934,,,988191336,2022-07-11T00:00:00.000Z
0.81735,,,986623507,2022-07-12T00:00:00.000Z
0.9239,,,982744663,2022-07-13T00:00:00.000Z
1.13528,,,968309163,2022-07-14T00:00:00.000Z
1.16721,,,974737984,2022-07-15T00:00:00.000Z
1.14296,,,972781188,2022-07-16T00:00:00.000Z
1.13517,,,972434790,2022-07-17T00:00:00.000Z
1.61131,,,979049126,2022-07-18T00:00:00.000Z
1.18439,,,991029907,2022-07-19T00:00:00.000Z
0.59496,0.22842,0.36653,1009399191,2022-07-20T00:00:00.000Z
0.65371,0.21943,0.43428,1004467865,2022-07-21T00:00:00.000Z
0.60765,0.14792,0.45973,1011285417,2022-07-22T00:00:00.000Z
