DATE,SWAP_COUNT,TOTAL_TRADING_VOLUME_USD
2022-02-11 00:00:00.000,58,33178365.49
2022-02-12 00:00:00.000,38,12935173.89
2022-02-13 00:00:00.000,26,4410228.82
2022-02-14 00:00:00.000,46,46450007.47
2022-02-15 00:00:00.000,48,15940885.52
2022-02-16 00:00:00.000,42,80761165.06
2022-02-17 00:00:00.000,48,30436357.41
2022-02-18 00:00:00.000,31,54888283.54
2022-02-19 00:00:00.000,36,14901211.35
2022-02-20 00:00:00.000,54,20236363.08
2022-02-21 00:00:00.000,63,38822051.09
2022-02-22 00:00:00.000,56,31042917.99
2022-02-23 00:00:00.000,50,34655392.88
2022-02-24 00:00:00.000,73,28429096.49
2022-02-25 00:00:00.000,56,34601395.02
2022-02-26 00:00:00.000,39,14733575.3
2022-02-27 00:00:00.000,74,30787440.36
2022-02-28 00:00:00.000,86,30118214.98
2022-03-01 00:00:00.000,73,24242777.56
2022-03-02 00:00:00.000,66,12592450.65
2022-03-03 00:00:00.000,59,13464687.76
2022-03-04 00:00:00.000,72,16096207.63
2022-03-05 00:00:00.000,47,5286708.4
2022-03-06 00:00:00.000,42,10037928.56
2022-03-07 00:00:00.000,89,25097169.72
2022-03-08 00:00:00.000,64,44503579.97
2022-03-09 00:00:00.000,66,26846794
2022-03-10 00:00:00.000,49,7080648.94
2022-03-11 00:00:00.000,52,9754832.46
2022-03-12 00:00:00.000,75,13741045.63
2022-03-13 00:00:00.000,67,51528627.76
2022-03-14 00:00:00.000,65,16994041.83
2022-03-15 00:00:00.000,55,12323434.03
2022-03-16 00:00:00.000,60,13091186.47
2022-03-17 00:00:00.000,96,36399326.41
2022-03-18 00:00:00.000,90,32808480.26
2022-03-19 00:00:00.000,41,2257494.17
2022-03-20 00:00:00.000,48,3519057.71
2022-03-21 00:00:00.000,43,16433482.35
2022-03-22 00:00:00.000,90,22340223.65
2022-03-23 00:00:00.000,60,18432996.13
2022-03-24 00:00:00.000,108,121594492.86
2022-03-25 00:00:00.000,63,71530533.98
2022-03-26 00:00:00.000,39,7955880.07
2022-03-27 00:00:00.000,55,6859032.75
2022-03-28 00:00:00.000,71,70204449.74
2022-03-29 00:00:00.000,82,16008038.65
2022-03-30 00:00:00.000,82,23421916.93
2022-03-31 00:00:00.000,82,24669849.48
2022-04-01 00:00:00.000,86,25496298.78
2022-04-02 00:00:00.000,67,10729182.21
2022-04-03 00:00:00.000,71,14176965.86
2022-04-04 00:00:00.000,74,15904905.97
2022-04-05 00:00:00.000,72,18526515.06
2022-04-06 00:00:00.000,70,20595616.81
2022-04-07 00:00:00.000,49,11556200.54
2022-04-08 00:00:00.000,54,24540482.5
2022-04-09 00:00:00.000,42,4421370.39
2022-04-10 00:00:00.000,63,5818645.5
2022-04-11 00:00:00.000,92,52305132.85
2022-04-12 00:00:00.000,86,38776800.98
2022-04-13 00:00:00.000,84,21917249.61
2022-04-14 00:00:00.000,70,24093693.15
2022-04-15 00:00:00.000,74,7742195.79
2022-04-16 00:00:00.000,56,7305913.9
2022-04-17 00:00:00.000,56,11967221.9
2022-04-18 00:00:00.000,77,20036521.92
2022-04-19 00:00:00.000,67,9359206.48
2022-04-20 00:00:00.000,95,15762636.63
2022-04-21 00:00:00.000,59,15632101.56
2022-04-22 00:00:00.000,69,17818407.26
2022-04-23 00:00:00.000,32,3721242.68
2022-04-24 00:00:00.000,41,7157970.08
2022-04-25 00:00:00.000,42,29617047.71
2022-04-26 00:00:00.000,77,19292939.47
2022-04-27 00:00:00.000,71,13709299.02
2022-04-28 00:00:00.000,67,18285886.82
2022-04-29 00:00:00.000,49,10202396.75
2022-04-30 00:00:00.000,60,29784888.51
2022-05-01 00:00:00.000,35,7951909.95
2022-05-02 00:00:00.000,47,25241826.95
2022-05-03 00:00:00.000,35,20266376.98
2022-05-04 00:00:00.000,47,24063159.93
2022-05-05 00:00:00.000,51,21697871.66
2022-05-06 00:00:00.000,59,39932042.84
2022-05-07 00:00:00.000,78,59085898.86
2022-05-08 00:00:00.000,89,14831353.71
2022-05-09 00:00:00.000,145,140098989.41
2022-05-10 00:00:00.000,159,43557423.31
2022-05-11 00:00:00.000,604,1018575818.91
2022-05-12 00:00:00.000,1793,2100951915.08
2022-05-13 00:00:00.000,318,322834149.25
2022-05-14 00:00:00.000,319,410679135.07
2022-05-15 00:00:00.000,245,317080468.53
2022-05-16 00:00:00.000,254,100718711.99
2022-05-17 00:00:00.000,216,186561633.57
2022-05-18 00:00:00.000,226,135228125.06
2022-05-19 00:00:00.000,277,124827297.78
2022-05-20 00:00:00.000,199,322265619.23
2022-05-21 00:00:00.000,207,150723955.51
2022-05-22 00:00:00.000,99,42932282.8
2022-05-23 00:00:00.000,180,63194182.59
2022-05-24 00:00:00.000,164,58380303.2
2022-05-25 00:00:00.000,138,40927142.53
2022-05-26 00:00:00.000,224,115513232.33
2022-05-27 00:00:00.000,217,81744148.69
2022-05-28 00:00:00.000,178,34828625.83
2022-05-29 00:00:00.000,171,22209114.26
2022-05-30 00:00:00.000,193,148383956.12
2022-05-31 00:00:00.000,152,41330677.12
2022-06-01 00:00:00.000,164,76894762.87
2022-06-02 00:00:00.000,126,48576973.25
2022-06-03 00:00:00.000,143,54286281.23
2022-06-04 00:00:00.000,86,40724797.71
2022-06-05 00:00:00.000,95,50454841.71
2022-06-06 00:00:00.000,98,49354682.34
2022-06-07 00:00:00.000,203,154146738.32
2022-06-08 00:00:00.000,102,74282319.34
2022-06-09 00:00:00.000,80,65572484.77
2022-06-10 00:00:00.000,149,77034288.94
2022-06-11 00:00:00.000,246,106251381.49
2022-06-12 00:00:00.000,299,80421486.77
2022-06-13 00:00:00.000,834,613838552.14
2022-06-14 00:00:00.000,563,451925093.55
2022-06-15 00:00:00.000,690,430419096.26
2022-06-16 00:00:00.000,391,199260890.38
2022-06-17 00:00:00.000,328,257270345.44
2022-06-18 00:00:00.000,613,186182354.46
2022-06-19 00:00:00.000,434,145424962.08
2022-06-20 00:00:00.000,317,129969040.41
2022-06-21 00:00:00.000,243,167620030.48
2022-06-22 00:00:00.000,229,38067986.68
2022-06-23 00:00:00.000,228,175719786.93
2022-06-24 00:00:00.000,262,223344531.69
2022-06-25 00:00:00.000,123,62637042.36
2022-06-26 00:00:00.000,160,64120657.36
2022-06-27 00:00:00.000,183,89511494.69
2022-06-28 00:00:00.000,306,158017053.66
2022-06-29 00:00:00.000,310,206044274.2
2022-06-30 00:00:00.000,297,110055990.29
2022-07-01 00:00:00.000,313,148494907.7
2022-07-02 00:00:00.000,224,75868378.76
2022-07-03 00:00:00.000,171,36668351.48
2022-07-04 00:00:00.000,261,104927222.09
2022-07-05 00:00:00.000,297,96003607.43
2022-07-06 00:00:00.000,271,107772943.43
2022-07-07 00:00:00.000,215,79965542.11
2022-07-08 00:00:00.000,198,51983568.6
2022-07-09 00:00:00.000,144,23386415.98
2022-07-10 00:00:00.000,128,35918640.72
2022-07-11 00:00:00.000,180,36759214.88
2022-07-12 00:00:00.000,151,55982687.01
2022-07-13 00:00:00.000,197,66985515.96
2022-07-14 00:00:00.000,203,85968613.43
2022-07-15 00:00:00.000,242,126559807.11
2022-07-16 00:00:00.000,209,84598087.91
2022-07-17 00:00:00.000,190,110757490.34
2022-07-18 00:00:00.000,258,89201057.01
2022-07-19 00:00:00.000,245,108014243.18
2022-07-20 00:00:00.000,192,100066238.7
2022-07-21 00:00:00.000,200,67317739.38
2022-07-22 00:00:00.000,261,65648154.78
2022-07-23 00:00:00.000,147,30182587.66
2022-07-24 00:00:00.000,117,7021245.74
2022-07-25 00:00:00.000,190,57685441.76
2022-07-26 00:00:00.000,163,58045327.81
